sample_name,source_well,dest_well,source_type
Octet Buffer,,A1,reservoir
Octet Buffer,,A3,reservoir
SI-157C11_P5158,C1,A5,plate
SI-157C12_P5159,C2,A6,plate
SI-157C13_P5198,C3,A7,plate
SI-157C14_P5199,C4,A8,plate
SI-157C15_P5235,C5,A9,plate
SI-157C16_P5236,C6,A10,plate
SI-157C17_P5237,C7,A11,plate
SI-157C18_P5317,C8,A12,plate
SI-83X1_P5364,C9,A13,plate
SI-157C19_P5365,C10,A14,plate
SI-157X47_P5533,C11,A15,plate
SI-157X56_P5534,C12,A16,plate
SI-157X61_P5535,D1,A17,plate
SI-157X62_P5536,D2,A18,plate
SI-157X63_P5537,D3,A19,plate
SI-157X64_P5538,D4,A20,plate
SI-157X49_P5563,D5,A21,plate
SI-157X50_P5564,D6,A22,plate
SI-157X53_P5565,D7,A23,plate
SI-157X57_P5566,D8,A24,plate
SI-157X65_P5567,D9,B1,plate
SI-157X66_P5568,D10,B2,plate
SI-157X67_P5569,D11,B3,plate
SI-157X68_P5570,D12,B4,plate
Glycine,,B5,reservoir
PBS,,B6,reservoir
Glycine,,B7,reservoir
PBS,,B8,reservoir
Octet Buffer,,C1,reservoir
Octet Buffer,,C3,reservoir
SI-157C11_P5158,C1,C5,plate
SI-157C12_P5159,C2,C6,plate
SI-157C13_P5198,C3,C7,plate
SI-157C14_P5199,C4,C8,plate
SI-157C15_P5235,C5,C9,plate
SI-157C16_P5236,C6,C10,plate
SI-157C17_P5237,C7,C11,plate
SI-157C18_P5317,C8,C12,plate
SI-83X1_P5364,C9,C13,plate
SI-157C19_P5365,C10,C14,plate
SI-157X47_P5533,C11,C15,plate
SI-157X56_P5534,C12,C16,plate
SI-157X61_P5535,D1,C17,plate
SI-157X62_P5536,D2,C18,plate
SI-157X63_P5537,D3,C19,plate
SI-157X64_P5538,D4,C20,plate
SI-157X49_P5563,D5,C21,plate
SI-157X50_P5564,D6,C22,plate
SI-157X53_P5565,D7,C23,plate
