BatchId;PDatTime;ProcessTime;AG2100;AG2100;AG2100;AG2100;DPRESS;DPRESS;DPRESS;DPRESS;F_PERM;P2500;P2500;P2500;P2500;P3000;P3000;P3000;P3000;P3000_T;PIR2600;PIR2700;PIRC2500;PIRC2500;PIRC2500;PIRC2500;QIR2000;QIR2100;TIR2100;TMP;WIR2700;WIRC2100;WIRC2100;WIRC2100;WIRC2100
;;Value;Value;Setpoint;Mode;Output;Value;Output;Mode;Setpoint;Value;Setpoint;Value;Output;Mode;Setpoint;Mode;Output;Value;Value;Value;Value;Output;Value;Setpoint;Mode;Value;Value;Value;Value;Value;Value;Output;Setpoint;Mode
;;hours;rpm;rpm;;%;bar;%;;bar;g/min;%;%;%;;%;;%;%;g;bar;bar;%;bar;bar;;x;ms/cm;°C;bar;g;g;%;g;

20250324 50E15 DN 570 UF2;3/24/2025 3:03:54 PM;0.00045;200;200;1;20;-0.0175;0;0;-1;0;8;0;0;0;0;0;0;0;0;-0.164;-0.1775;0;-0.1785;1.9165;0;0;0;22.17;0.00750000000000006;0;153.5;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:03:59 PM;0.00184166666666667;200;200;1;20;-0.0175;0;0;-1;0;8;0;0;0;0;0;0;0;0;-0.164;-0.1775;0;-0.1785;1.9165;0;0;0;22.155;0.00750000000000006;0;153.6;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:04 PM;0.00323055555555556;200;200;1;20;0.319;0;0;-1;0;8;8;8;1;0;0;0;0;0;-0.1625;-0.1775;0;0.2095;1.9165;0;0;0;22.155;0.177;0;153.7;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:09 PM;0.00462222222222222;200;200;1;20;2.839;0;0;-1;0;8;8;8;1;0;0;0;0;0;-0.157;-0.177;0;2.222;1.9165;0;0;0;22.155;1.4435;0;152.2;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:14 PM;0.00601388888888889;200;200;1;20;2.817;0;0;-1;0;8;8;8;1;0;0;0;0;0;-0.158;-0.1765;0;2.195;1.9165;0;0;0;22.14;1.431;0.674991;151.8;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:19 PM;0.00740555555555555;200;200;1;20;2.8325;0;0;-1;0;8;8;8;1;0;0;0;0;0;-0.158;-0.177;0;2.1805;1.9165;0;0;0;22.125;1.439;0.974987;151.4;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:24 PM;0.0088;200;200;1;20;2.835;0;0;-1;4;8;8;8;1;0;0;0;0;0;-0.158;-0.177;0;2.2155;1.9165;0;0;0;22.125;1.4405;1.574979;150.8;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:29 PM;0.0101888888888889;200;200;1;20;2.788;0;0;-1;4;9;9;9;1;0;0;0;0;0;-0.1575;-0.177;0;2.15;1.9165;0;0;0;22.14;1.417;2.024973;150.3;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:34 PM;0.0115805555555556;200;200;1;20;3.15;0;0;-1;4;9;9;9;1;0;0;0;0;0;-0.1575;-0.177;0;2.431;1.9165;0;0;0;22.14;1.5985;2.624965;149.9;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:39 PM;0.0129694444444444;200;200;1;20;3.3195;0;0;-1;4;9;9;9;1;0;0;0;0;0;-0.157;-0.1755;0;2.6165;1.9165;0;0;0;22.125;1.6825;3.074959;149.3;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:44 PM;0.0143638888888889;200;200;1;20;3.058;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.157;-0.177;0;2.4245;1.9165;0;0;0;22.14;1.553;3.599952;148.9;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:49 PM;0.0157527777777778;200;200;1;20;3.033;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.157;-0.178;0;2.387;1.9165;0;0;0;22.14;1.5415;3.974947;148.4;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:54 PM;0.0171444444444444;200;200;1;20;3.093;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.157;-0.1775;0;2.4415;1.9165;0;0;0;22.14;1.5705;4.574939;147.8;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:04:59 PM;0.0185333333333333;200;200;1;20;3.093;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.157;-0.1775;0;2.4415;1.9165;0;0;0;22.14;1.5705;4.574939;147.8;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:04 PM;0.019925;200;200;1;20;3.2745;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.1565;-0.1765;0;2.563;1.9165;0;0;0;22.14;1.661;5.099932;147.3;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:09 PM;0.0213166666666667;200;200;1;20;3.098;0;0;-1;5.43;9;9;9;1;0;0;0;0;0;-0.157;-0.1775;0;2.4265;1.9165;0;0;0;22.155;1.5735;5.624925;146.9;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:14 PM;0.0227083333333333;200;200;1;20;3.2415;0;0;-1;5.43;9;9;9;1;0;0;0;0;0;-0.157;-0.177;0;2.553;1.9165;0;0;0;22.155;1.645;6.224917;146.3;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:19 PM;0.0241027777777778;200;200;1;20;3.0825;0;0;-1;5.43;9;9;9;1;0;0;0;0;0;-0.157;-0.1775;0;2.402;1.9165;0;0;0;22.155;1.5655;6.674911;145.8;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:24 PM;0.0254944444444444;200;200;1;20;3.065;0;0;-1;5.43;9;9;9;1;0;0;0;0;0;-0.1565;-0.1765;0;2.4175;1.9165;0;0;0;22.14;1.5565;7.274903;145.3;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:29 PM;0.0268861111111111;200;200;1;20;3.056;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1775;0;2.39;1.9165;0;0;0;22.14;1.5525;7.874895;144.7;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:34 PM;0.0282777777777778;200;200;1;20;3.1125;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1775;0;2.4415;1.9165;0;0;0;22.17;1.581;8.174891;144.2;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:39 PM;0.0296694444444444;200;200;1;20;3.272;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.1565;-0.1765;0;2.555;1.9165;0;0;0;22.155;1.66;8.699884;143.7;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:44 PM;0.0310583333333333;200;200;1;20;3.0295;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1785;0;2.3645;1.9165;0;0;0;22.185;1.5405;9.224877;143.3;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:49 PM;0.03245;200;200;1;20;3.0835;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.157;-0.178;0;2.424;1.9165;0;0;0;22.17;1.567;9.899868;142.6;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:54 PM;0.0338416666666667;200;200;1;20;3.129;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.157;-0.178;0;2.4555;1.9165;0;0;0;22.17;1.59;10.274863;142.1;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:05:59 PM;0.0352305555555556;200;200;1;20;3.101;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.1565;-0.1765;0;2.441;1.9165;0;0;0;22.185;1.574;10.724857;141.7;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:04 PM;0.0366194444444444;200;200;1;20;3.07;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.423;1.9165;0;0;0;22.17;1.558;11.324849;141;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:09 PM;0.0380138888888889;200;200;1;20;3.054;0;0;-1;6.29;9;9;9;1;0;0;0;0;0;-0.157;-0.177;0;2.4215;1.9165;0;0;0;22.2;1.551;11.99984;140.7;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:14 PM;0.0394055555555556;200;200;1;20;2.977;0;0;-1;6.29;9;9;9;1;0;0;0;0;0;-0.1575;-0.178;0;2.317;1.9165;0;0;0;22.17;1.513;12.374835;140.2;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:19 PM;0.0407972222222222;200;200;1;20;3.068;0;0;-1;6.29;9;9;9;1;0;0;0;0;0;-0.1575;-0.177;0;2.3815;1.9165;0;0;0;22.2;1.558;12.974827;139.5;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:24 PM;0.0421888888888889;200;200;1;20;3.093;0;0;-1;6.29;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.439;1.9165;0;0;0;22.2;1.57;13.49982;139.1;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:29 PM;0.0435805555555556;200;200;1;20;3.093;0;0;-1;6.29;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.439;1.9165;0;0;0;22.2;1.57;13.49982;139.1;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:34 PM;0.0449722222222222;200;200;1;20;3.138;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.4625;1.9165;0;0;0;22.215;1.592;14.024813;138.6;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:39 PM;0.0463611111111111;200;200;1;20;3.0355;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.177;0;2.346;1.9165;0;0;0;22.2;1.542;14.474807;138.1;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:44 PM;0.0477527777777778;200;200;1;20;3.144;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.176;0;2.453;1.9165;0;0;0;22.2;1.5955;14.9998;137.6;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:49 PM;0.0491444444444444;200;200;1;20;2.9895;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1775;0;2.315;1.9165;0;0;0;22.215;1.519;15.599792;137;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:54 PM;0.0505361111111111;200;200;1;20;3.0695;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.4045;1.9165;0;0;0;22.215;1.558;15.974787;136.6;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:06:59 PM;0.051925;200;200;1;20;3.1625;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.4565;1.9165;0;0;0;22.215;1.605;16.724777;136;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:04 PM;0.0533166666666667;200;200;1;20;2.9245;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1775;0;2.266;1.9165;0;0;0;22.23;1.4865;17.099772;135.5;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:09 PM;0.0547111111111111;200;200;1;20;3.1125;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.4045;1.9165;0;0;0;22.245;1.5795;17.699764;135;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:14 PM;0.0561027777777778;200;200;1;20;3.172;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.1565;-0.176;0;2.508;1.9165;0;0;0;22.26;1.6095;18.299756;134.4;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:19 PM;0.0574944444444444;200;200;1;20;3.0105;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.177;0;2.3365;1.9165;0;0;0;22.26;1.529;18.674751;133.9;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:24 PM;0.0588861111111111;200;200;1;20;3.2135;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.496;1.9165;0;0;0;22.26;1.6305;19.274743;133.4;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:29 PM;0.060275;200;200;1;20;3.12;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.456;1.9165;0;0;0;22.26;1.584;19.799736;132.9;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:34 PM;0.0616694444444444;200;200;1;20;3.171;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.1565;-0.1765;0;2.512;1.9165;0;0;0;22.275;1.6095;20.324729;132.4;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:39 PM;0.0630611111111111;200;200;1;20;3.1205;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.157;-0.177;0;2.4235;1.9165;0;0;0;22.29;1.584;20.774723;131.9;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:44 PM;0.0644555555555556;200;200;1;20;3.06;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.157;-0.1775;0;2.39;1.9165;0;0;0;22.305;1.5545;21.524713;131.4;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:49 PM;0.0658472222222222;200;200;1;20;3.0875;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.157;-0.177;0;2.404;1.9165;0;0;0;22.29;1.568;21.899708;131;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:54 PM;0.0672361111111111;200;200;1;20;3.0875;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.157;-0.177;0;2.404;1.9165;0;0;0;22.29;1.568;21.899708;131;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:07:59 PM;0.0686277777777778;200;200;1;20;3.0945;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.1575;-0.1765;0;2.424;1.9165;0;0;0;22.305;1.5705;22.424701;130.4;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:04 PM;0.0700222222222222;200;200;1;20;3.078;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.1575;-0.1775;0;2.3905;1.9165;0;0;0;22.32;1.563;23.099692;129.9;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:09 PM;0.0714138888888889;200;200;1;20;3.25;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.5385;1.9165;0;0;0;22.35;1.6475;23.474687;129.4;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:14 PM;0.0728055555555556;200;200;1;20;3.2045;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.5365;1.9165;0;0;0;22.335;1.6255;23.99968;128.9;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:19 PM;0.0741972222222222;200;200;1;20;3.3425;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.176;0;2.6365;1.9165;0;0;0;22.35;1.694;24.524673;128.4;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:24 PM;0.0755861111111111;200;200;1;20;3.1695;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1765;0;2.488;1.9165;0;0;0;22.365;1.608;24.974667;127.7;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:29 PM;0.0769805555555556;200;200;1;20;3.0195;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.177;0;2.3795;1.9165;0;0;0;22.38;1.5335;25.49966;127.2;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:34 PM;0.0783694444444444;200;200;1;20;3.0515;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.1775;0;2.4075;1.9165;0;0;0;22.395;1.55;26.024653;126.8;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:39 PM;0.0797611111111111;200;200;1;20;3.0405;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.1575;-0.1775;0;2.3645;1.9165;0;0;0;22.41;1.5445;26.699644;126.2;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:44 PM;0.0811527777777778;200;200;1;20;3.0915;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.1575;-0.177;0;2.4045;1.9165;0;0;0;22.41;1.5695;27.224637;125.7;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:49 PM;0.0825444444444444;200;200;1;20;3.1355;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.1575;-0.1765;0;2.464;1.9165;0;0;0;22.44;1.5905;27.674631;125.2;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:54 PM;0.0839361111111111;200;200;1;20;3.2765;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.176;0;2.61;1.9165;0;0;0;22.41;1.661;28.274623;124.8;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:08:59 PM;0.0853305555555555;200;200;1;20;3.3085;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.157;-0.176;0;2.6;1.9165;0;0;0;22.425;1.6775;28.724617;124.3;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:09:04 PM;0.0867222222222222;200;200;1;20;3.023;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.1575;-0.177;0;2.336;1.9165;0;0;0;22.44;1.535;29.099612;123.8;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:09:09 PM;0.0881138888888889;200;200;1;20;3.2655;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.1575;-0.176;0;2.547;1.9165;0;0;0;22.44;1.6555;29.924601;123.1;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:09:14 PM;0.0895027777777778;200;200;1;20;3.1355;0;0;-1;6;9;9;9;1;0;0;0;0;0;-0.158;-0.177;0;2.4275;1.9165;0;0;0;22.455;1.5905;30.299596;122.7;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:09:19 PM;0.0908972222222222;200;200;1;20;3.247;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.1575;-0.176;0;2.557;1.9165;0;0;0;22.47;1.645;30.824589;122.2;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:09:24 PM;0.0922888888888889;200;200;1;20;3.247;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.1575;-0.176;0;2.557;1.9165;0;0;0;22.47;1.645;30.824589;122.2;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:09:29 PM;0.0936805555555556;200;200;1;20;3.198;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.1575;-0.1765;0;2.53;1.9165;0;0;0;22.47;1.622;31.424581;121.6;0;146.7;0
20250324 50E15 DN 570 UF2;3/24/2025 3:09:34 PM;0.0950722222222222;200;200;1;20;3.096;0;0;-1;5.71;9;9;9;1;0;0;0;0;0;-0.158;-0.1765;0;2.443;1.9165;0;0;0;22.47;1.5705;31.874575;121.1;0;146.7;0
