"Date & Time","Sample ID","Sample Type","Gln","Glu","Gluc","Lac","NH4+","Na+","K+","Ca++","pH","PO2","PCO2","Osm","Vessel ID","Batch ID","Cell Type","Vessel Temperature (°C)","Vessel Pressure (psi)","Sparging O2%","Chemistry Dilution Ratio","pH @ Temp","PCO2 @ Temp","PO2 @ Temp","O2 Saturation","CO2 Saturation","HCO3","Chemistry Flow Time","pH / Gas Flow Time","Tray Location","Time In Tray","Sample Time","Operator",
"","","","mmol / L","mmol / L","g / L","g / L","mmol / L","mmol / L","mmol / L","mmol / L","-","mmHg","mmHg","mOsm / kg","","","","","","","","-","mmHg","mmHg","","","","","","","","","",
10/7/2024  11:23:38,E35BRX01 D00,Default,0.20,2.15,6.24,0.06,1.06,101.2,7.55,0.20,7.432,149.7,23.7,287,,SI-50E15,,37.0,0.0,20.9,1:1,7.432,23.7,149.7,99.7,3.3,15.9,7.72,3.50,,,10/7/2024  11:23:38,Flex2admin,
10/7/2024  11:27:03,E35BRX02 D00,Default,0.19,2.04,6.26,0.05,1.04,98.6,7.48,0.19,7.413,152.9,26.2,287,,SI-50E15,,37.0,0.0,20.9,1:1,7.413,26.2,152.9,100.0,3.6,16.9,7.65,3.63,,,10/7/2024  11:27:03,Flex2admin,
10/7/2024  11:30:27,E35BRX03 D00,Default,0.17,2.07,6.34,0.06,1.03,98.6,7.48,0.19,7.379,152.4,29.8,289,,SI-50E15,,37.0,0.0,20.9,1:1,7.379,29.8,152.4,100.0,4.2,17.8,7.76,3.55,,,10/7/2024  11:30:27,Flex2admin,
10/7/2024  11:33:57,E35BRX04 D00,Default,0.17,2.02,6.21,0.06,0.99,96.1,7.36,0.19,7.409,152.0,26.8,286,,SI-50E15,,37.0,0.0,20.9,1:1,7.409,26.8,152.0,100.0,3.7,17.1,7.63,3.52,,,10/7/2024  11:33:57,Flex2admin,
10/8/2024  10:55:06,E35BRX01 D01,Default,0.21,2.16,6.03,0.22,1.28,98.9,7.42,0.20,7.004,134.8,92.7,292,,SI-50E15,,37.0,0.0,20.9,1:1,7.004,92.7,134.8,90.1,13.0,23.3,7.76,3.62,,,10/8/2024  10:55:06,Flex2admin,
10/8/2024  10:59:44,E35BRX02 D01,Default,0.19,2.12,6.10,0.18,1.26,97.8,7.41,0.19,7.018,136.5,93.5,288,,SI-50E15,,37.0,0.0,20.9,1:1,7.018,93.5,136.5,91.2,13.1,24.2,7.53,3.54,,,10/8/2024  10:59:44,Flex2admin,
10/8/2024  11:03:29,E35BRX03 D01,Default,0.16,2.03,5.97,0.23,1.24,96.8,7.34,0.19,6.969,135.8,102.5,289,,SI-50E15,,37.0,0.0,20.9,1:1,6.969,102.5,135.8,90.8,14.3,23.8,7.56,3.56,,,10/8/2024  11:03:29,Flex2admin,
10/8/2024  11:07:23,E35BRX04 D01,Default,0.17,2.05,5.99,0.22,1.20,96.8,7.41,0.19,7.020,140.5,88.7,290,,SI-50E15,,37.0,0.0,20.9,1:1,7.020,88.7,140.5,93.9,12.4,23.1,7.61,3.42,,,10/8/2024  11:07:23,Flex2admin,
10/9/2024  10:38:31,E35BRX01 D02,Default,0.14,2.33,5.16,0.78,3.00,99.8,7.47,0.20,6.864,0.0,64.0,287,,SI-50E15,,37.0,0.0,20.9,1:1,6.864,64.0,0.0,0.0,8.9,11.7,7.52,3.60,,,10/9/2024  10:38:31,Flex2admin,
10/9/2024  10:42:16,E35BRX01 D02 RERUN,Default,,,,,,,,,6.847,3.9,63.5,,,SI-50E15,,37.0,0.0,20.9,,6.847,63.5,3.9,2.6,8.8,11.1,,3.52,,,10/9/2024  10:42:16,Flex2admin,
10/9/2024  10:45:20,E35BRX02 D02,Default,0.16,2.30,5.56,0.39,2.63,94.7,7.30,0.19,6.960,20.6,96.5,287,,SI-50E15,,37.0,0.0,20.9,1:1,6.960,96.5,20.6,13.7,13.4,21.9,7.53,3.47,,,10/9/2024  10:45:20,Flex2admin,
10/9/2024  10:48:52,E35BRX03 D02,Default,0.18,2.20,5.74,0.44,1.66,96.9,7.44,0.19,6.984,145.3,86.9,293,,SI-50E15,,37.0,0.0,20.9,1:1,6.984,86.9,145.3,96.6,12.1,20.8,7.66,3.45,,,10/9/2024  10:48:52,Flex2admin,
10/10/2024  13:39:12,E35BRX04 D03,Default,0.18,2.61,4.94,0.98,2.45,97.8,7.39,0.19,6.973,140.3,32.7,,,SI-50E15,,37.0,0.0,20.9,1:1,6.973,32.7,140.3,93.0,4.5,7.7,7.70,3.59,,,10/10/2024  13:39:12,Flex2admin,
10/11/2024  15:19:59,E35BRX04 D04,Default,,6.57,7.02,1.45,3.54,106.6,9.41,0.21,,,,342,,SI-50E15,,37.0,0.0,20.9,1:1,,,,,,,7.40,,,,10/11/2024  15:19:59,Flex2admin,
10/11/2024  15:26:20,E35BRX04 D04 GAS,Default,,,,,,,,,6.787,110.3,29.3,,,SI-50E15,,37.0,0.0,20.9,,6.787,29.3,110.3,73.6,4.1,4.5,,3.13,,,10/11/2024  15:26:20,Flex2admin,
10/12/2024  12:17:39,E35BRX04 D05,Default,,10.12,9.32,1.46,4.09,115.7,11.37,0.24,7.100,28.0,15.5,399,,SI-50E15,,37.0,0.0,20.9,1:1,7.100,15.5,28.0,18.7,2.2,4.8,7.42,3.33,,,10/12/2024  12:17:39,Flex2admin,
10/14/2024  14:46:39,E35BRX04 D07,Default,,10.87,7.95,1.25,2.66,124.2,11.07,0.21,7.194,61.2,21.2,403,,SI-50E15,,37.0,0.0,20.9,1:1,7.194,21.2,61.2,40.8,3.0,8.3,7.54,3.50,,,10/14/2024  14:46:39,Flex2admin,
10/15/2024  15:01:43,E35BRX04 D08,Default,,8.18,4.83,0.71,2.47,126.9,9.98,0.18,7.004,31.0,130.4,377,,SI-50E15,,37.0,0.0,20.9,1:1,7.004,130.4,31.0,20.7,18.2,32.7,7.26,3.52,,,10/15/2024  15:01:43,Flex2admin,
10/16/2024  10:51:35,E35BRX04 D09,Default,,9.12,6.26,0.06,3.44,131.6,10.86,0.18,7.296,75.6,115.3,410,,SI-50E15,,30.0,0.0,20.9,1:1,7.394,84.9,47.5,31.7,11.8,52.3,7.48,3.46,,,10/16/2024  10:51:35,Flex2admin,
10/17/2024  10:34:33,E35BRX04 D010,Default,,8.02,4.84,0.07,8.90,138.5,11.45,0.18,7.197,63.4,215.7,406,,SI-50E15,,30.0,0.0,20.9,1:1,7.291,158.8,39.2,26.1,22.1,77.3,7.74,3.18,,,10/17/2024  10:34:33,Flex2admin,
10/17/2024  15:18:22,E37BRX01 D00,Default,0.21,2.20,6.82,0.02,1.09,78.7,7.91,0.23,6.734,166.2,2.6,259,,SI-50E15,,37.0,0.0,20.9,1:1,6.734,2.6,166.2,100.0,0.4,0.4,7.33,4.44,,,10/17/2024  15:18:22,Flex2admin,
10/17/2024  15:21:21,E37BRX02 D00,Default,0.21,2.13,6.76,0.04,1.12,74.7,7.73,0.23,6.710,162.0,4.6,262,,SI-50E15,,37.0,0.0,20.9,1:1,6.710,4.6,162.0,100.0,0.6,0.6,7.35,4.28,,,10/17/2024  15:21:21,Flex2admin,
10/17/2024  15:24:23,E37BRX03 D00,Default,0.20,2.11,6.75,0.03,1.06,75.0,7.75,0.23,6.797,163.4,0.0,262,,SI-50E15,,37.0,0.0,20.9,1:1,6.797,0.0,163.4,100.0,0.0,0.0,7.34,4.23,,,10/17/2024  15:24:23,Flex2admin,
10/17/2024  15:27:28,E37BRX04 D00,Default,0.19,2.13,6.72,0.04,1.11,75.2,7.74,0.23,6.850,202.4,0.0,259,,SI-50E15,,37.0,0.0,20.9,1:1,6.850,0.0,202.4,100.0,0.0,0.0,7.39,4.15,,,10/17/2024  15:27:28,Flex2admin,
10/18/2024  14:25:35,E37BRX01 D01,Default,0.05,2.22,6.73,0.04,1.32,78.8,7.99,0.24,6.607,154.2,21.8,262,,SI-50E15,,37.0,0.0,20.9,1:1,6.607,21.8,154.2,100.0,3.0,2.2,7.77,3.48,,,10/18/2024  14:25:35,Flex2admin,
10/18/2024  14:29:50,E37BRX02 D01,Default,0.09,2.17,6.61,0.05,1.42,74.5,7.70,0.23,6.595,147.7,22.9,263,,SI-50E15,,37.0,0.0,20.9,1:1,6.595,22.9,147.7,97.9,3.2,2.2,7.38,3.29,,,10/18/2024  14:29:50,Flex2admin,
10/18/2024  14:33:43,E37BRX03 D01,Default,,8.63,5.38,0.09,10.10,145.2,12.62,0.18,7.153,58.9,300.5,455,,SI-50E15,,37.0,0.0,20.9,1:1,7.153,300.5,58.9,39.0,41.7,106.5,7.36,3.31,,,10/18/2024  14:33:43,Flex2admin,
10/18/2024  14:37:44,E37BRX03 D01 RERUN,Default,0.02,2.19,5.71,0.12,0.25,76.7,7.62,0.25,5.832,0.0,28.4,259,,SI-50E15,,37.0,0.0,20.9,1:1,5.832,28.4,0.0,0.0,3.9,0.5,7.48,3.55,,,10/18/2024  14:37:44,Flex2admin,
10/18/2024  14:42:16,E37BRX04 D01,Default,0.10,2.22,6.57,0.11,1.49,75.8,7.76,0.22,6.782,187.6,0.0,264,,SI-50E15,,37.0,0.0,20.9,1:1,6.782,0.0,187.6,100.0,0.0,0.0,7.40,3.29,,,10/18/2024  14:42:16,Flex2admin,
10/18/2024  14:46:33,E35BRX04 D11,Default,,8.46,5.34,0.09,10.01,144.0,12.52,0.18,7.120,53.7,314.3,454,,SI-50E15,,37.0,0.0,20.9,1:1,7.120,314.3,53.7,35.6,43.6,103.2,7.36,3.16,,,10/18/2024  14:46:33,Flex2admin,
10/20/2024  17:47:12,E35BRX04 D13,Default,3.65,4.34,0.70,0.09,13.04,149.9,12.07,0.17,7.037,57.1,476.7,436,,SI-50E15,,37.0,0.0,20.9,1:1,7.037,476.7,57.1,38.3,66.8,129.3,7.39,3.32,,,10/20/2024  17:47:12,Flex2admin,
10/20/2024  17:51:38,E37BRX01 D03,Default,0.16,2.33,5.96,0.73,2.04,92.0,7.64,0.20,6.959,124.5,62.0,284,,SI-50E15,,37.0,0.0,20.9,1:1,6.959,62.0,124.5,83.5,8.7,14.1,7.36,3.56,,,10/20/2024  17:51:38,Flex2admin,
10/20/2024  17:55:08,E37BRX02 D03,Default,0.15,2.52,5.60,0.60,2.34,90.9,7.48,0.20,6.952,81.4,69.3,285,,SI-50E15,,37.0,0.0,20.9,1:1,6.952,69.3,81.4,54.6,9.7,15.4,7.33,3.30,,,10/20/2024  17:55:08,Flex2admin,
10/20/2024  17:59:56,E37BRX04 D03,Default,0.13,2.41,6.40,0.32,2.13,78.2,8.00,0.23,6.569,183.3,0.0,266,,SI-50E15,,37.0,0.0,20.9,1:1,6.569,0.0,183.3,100.0,0.0,0.0,7.54,3.40,,,10/20/2024  17:59:56,Flex2admin,
10/21/2024  11:35:44,E37BRX01 D04,Default,0.17,2.53,5.24,1.24,2.47,94.3,7.72,0.20,6.843,120.8,27.2,285,,SI-50E15,,37.0,0.0,20.9,1:1,6.843,27.2,120.8,80.6,3.8,4.7,7.38,3.61,,,10/21/2024  11:35:44,Flex2admin,
10/21/2024  11:39:26,E37BRX02 D04,Default,0.18,2.68,4.72,1.00,2.55,91.3,7.27,0.20,6.935,57.9,27.5,276,,SI-50E15,,37.0,0.0,20.9,1:1,6.935,27.5,57.9,38.6,3.8,5.9,7.16,3.27,,,10/21/2024  11:39:26,Flex2admin,
10/21/2024  11:43:20,E37BRX04 D04,Default,0.15,2.45,6.37,0.37,2.32,77.7,8.04,0.22,6.507,184.8,0.0,269,,SI-50E15,,37.0,0.0,20.9,1:1,6.507,0.0,184.8,100.0,0.0,0.0,7.42,3.61,,,10/21/2024  11:43:20,Flex2admin,
10/21/2024  11:46:47,E35BRX04 D14,Default,4.11,5.92,1.45,0.20,14.19,159.5,13.81,0.17,7.220,51.3,343.8,467,,SI-50E15,,37.0,0.0,20.9,1:1,7.220,343.8,51.3,34.2,47.9,142.0,7.37,3.26,,,10/21/2024  11:46:47,Flex2admin,
10/21/2024  13:06:37,E36SF02 D14,Default,,11.42,5.97,0.10,19.70,144.1,18.87,0.21,,,,495,,SI-50E15,,37.0,0.0,20.9,1:1,,,,,,,7.46,,12,1:17,10/21/2024  13:06:37,Flex2admin,
10/21/2024  13:09:57,E36SF09 D14,Default,,10.21,6.03,0.14,21.08,143.9,18.78,0.21,7.603,176.9,,492,,SI-50E15,,37.0,0.0,20.9,1:1,7.603,,176.9,100.0,,,7.39,3.69,13,4:01,10/21/2024  13:09:57,Flex2admin,
